,order_number,reference,quantity,ship_out_date,arrival_date
0,5500044982,1DZ104463,24,,07.06.2021
1,5500044982,1DZ104463,384,,07.09.2021
2,5500044982,1DZ104463,384,,15.10.2021
3,5500044982,1DZ104463,0,,15 .:0)..2021
4,5500044982,1DZ104463,768,,12 2021
5,5500044982,1DZ104463,384,,01.2022
6,5500044982,1DZ104463,768,,02.2022
7,5500044982,1DZ104463,384,,03.2022
8,5500044982,1DZ104463,768,,04.2022
9,5500046156,JD 650 FR,600,,06.07.2021
10,5500046156,JD 650 FR,900,,02.08.2021
11,5500046156,JD 650 FR,600,,01.09.2021
12,5500046156,JD 650 FR,600,,15 .:0)..2021
13,5500046156,JD 650 FR,600,,12 2021
14,5500046156,JD 650 FR,600,,02.2022
15,5500044982,1DZ104463,24,,07.06.2021
16,5500044982,1DZ104463,384,,07.09.2021
17,5500044982,1DZ104463,0,,07.09.2021
18,5500044982,1DZ104463,0,,10.2021
19,5500044982,1DZ104463,384,,"TS G0, 2021"
20,5500044982,1DZ104463,768,,12 2021
21,5500044982,1DZ104463,384,,01.2022
22,5500044982,1DZ104463,768,,02.2022
23,5500044982,104463 JD,384,,04.10.2021
24,5500044982,104463 JD,384,,15.10.2021
25,5500044982,104463 JD,384,,01 ..11..2021
26,5500044982,104463 JD,768,,03.12.2021
27,5500044982,104463 JD,768,,07 ¢01.2022
28,5500044982,104463 JD,768,,01.02.2022
29,5500044982,104463 JD,768,,01.03.2022
30,5500044982,104463 JD,0,,03.2022
31,5500044982,104463 JD,768,,04.2022
32,5500044982,104463 JD,768,,05 .2022
33,5500044982,104463 JD,0,,06.2022
34,5500044982,104463 JD,768,,07.2022
35,5500044982,104463 JD,384,,08.2022
36,5500046156,50 FRE5228,600,,08.11.2021
37,5500046156,50 FRE5228,900,,07.01.2022
38,5500046156,50 FRE5228,750,,04.02.2022
39,5500046156,50 FRE5228,0,,03.2022
40,5500046156,50 FRE5228,600,,07 .03i.2022
41,5500046156,50 FRE5228,1.050,,04.2022
42,5500046156,50 FRE5228,1.050,,05.2022
43,5500046156,50 FRE5228,750,,06.2022
44,5500046156,50 FRE5228,900,,07.2022
45,5500046156,50 FRE5228,450,,08.2022
46,5500046156,50 FRE5228,600,,09.2022
47,5500046156,50 FRE5228,150,,23.07.2021
48,5500046156,50 FRE5228,600,,01.09.2021
49,5500046156,50 FRE5228,600,,"15 10.2021,"
50,5500046156,50 FRE5228,600,,08.11.2021
51,5500046156,50 FRE5228,L200,,07 ¢01.2022
52,5500046156,50 FRE5228,0,,02.2022
53,5500046156,50 FRE5228,600,,04.02.2022
54,5500046156,50 FRE5228,450,,03.2022
55,5500046156,50 FRE5228,750,,04.2022
56,5500046156,50 FRE5228,750,,05 .2022
57,5500046156,50 FRE5228,1.050,,06.2022
58,5500046156,50 FRE5228,900,,07.2022
59,5500046156,50 FRE5228,750,,08.2022
60,5500044982,104463 JD,384,,04.10.2021
61,5500044982,104463 JD,384,,15.10.2021
62,5500044982,104463 JD,384,,01 ..11..2021
63,5500044982,104463 JD,768,,03.12.2021
64,5500044982,104463 JD,768,,07 ¢01.2022
65,5500044982,104463 JD,768,,01.02.2022
66,5500044982,104463 JD,0,,02.2022
67,5500044982,104463 JD,384,,03.2022
68,5500044982,104463 JD,768,,04.2022
69,5500044982,104463 JD,768,,05 .2022
70,5500044982,104463 JD,384,,06.2022
71,5500044982,104463 JD,768,,07.2022
72,5500044982,104463 JD,384,,08.2022
73,5500044982,104463 JD,384,,04.10.2021
74,5500044982,104463 JD,384,,15.10.2021
75,5500044982,104463 JD,384,,01 ..11..2021
76,5500044982,104463 JD,768,,03.12.2021
77,5500044982,104463 JD,768,,07 ¢01.2022
78,5500044982,104463 JD,768,,02.2022
79,5500044982,104463 JD,768,,04.2022
80,5500044982,104463 JD,768,,06.2022
81,5500044982,104463 JD,384,,07.09.2021
82,5500044982,104463 JD,384,,15.10.2021
83,5500044982,104463 JD,384,,01 ..11..2021
84,5500044982,104463 JD,768,,03.12.2021
85,5500044982,104463 JD,0,,"08 -12),.202:1."
86,5500044982,104463 JD,0,,01.2022
87,5500044982,104463 JD,384,,07.01.2022
88,5500044982,104463 JD,768,,02.2022
89,5500044982,104463 JD,0,,03.2022
90,5500044982,104463 JD,768,,04.2022
91,5500044982,104463 JD,0,,05 «2022
92,5500044982,104463 JD,768,,06.2022
93,5500046156,50 FRE5228,150,,23.07.2021
94,5500046156,50 FRE5228,600,,01.09.2021
95,5500046156,50 FRE5228,600,,"15 10.2021,"
96,5500046156,50 FRE5228,600,,08.11.2021
97,5500046156,50 FRE5228,900,,OF p12i.202:1.
98,5500046156,50 FRE5228,0,,01.2022
99,5500046156,50 FRE5228,600,,07.01.2022
100,5500046156,50 FRE5228,1.050,,02.2022
101,5500046156,50 FRE5228,900,,03.2022
102,5500046156,50 FRE5228,750,,04.2022
103,5500046156,50 FRE5228,900,,05 «2022
104,5500046156,50 FRE5228,1.050,,06.2022
105,5500046156,50 FRE5228,900,,07.2022
106,5500044982,1DZ104463,384,,07.09.2021
107,5500044982,1DZ104463,384,,15.10.2021
108,5500044982,1DZ104463,384,,01.11.2021
109,5500044982,1DZ104463,0,,12.2021
110,5500044982,1DZ104463,768,,03 GI2.2021
111,5500044982,1DZ104463,384,,01.2022
112,5500044982,1DZ104463,768,,02.2022
113,5500044982,1DZ104463,768,,03.2022
114,5500044982,1DZ104463,768,,04.2022
115,5500044982,1DZ104463,768,,05.2022
116,5500046156,JD 650 FR,900,,02.08.2021
117,5500046156,JD 650 FR,600,,01.09.2021
118,5500046156,JD 650 FR,600,,15 .L0:.2021
119,5500046156,JD 650 FR,600,,08.11.2021
120,5500046156,JD 650 FR,900,,01.12.2021
121,5500046156,JD 650 FR,0,,12 2021
122,5500046156,JD 650 FR,900,,01.2022
123,5500046156,JD 650 FR,600,,02.2022
124,5500046156,JD 650 FR,750,,03.2022
125,5500046156,JD 650 FR,750,,04.2022
126,5500046156,JD 650 FR,1.050,,05 22022
127,5500046156,JD 650 FR,1.050,,06.2022
128,5500046156,JD 650 FR,600,,06.07.2021
129,5500046156,JD 650 FR,900,,02.08.2021
130,5500046156,JD 650 FR,600,,01.09.2021
131,5500046156,JD 650 FR,600,,15 .:0)..2021
132,5500046156,JD 650 FR,900,,12 2021
133,5500046156,JD 650 FR,900,,01.2022
134,5500046156,JD 650 FR,600,,02.2022
135,5500046156,JD 650 FR,900,,03.2022
136,5500046156,JD 650 FR,900,,04.2022
137,5500046156,JD 650 FR,750,,05.2022
138,5500044982,1DZ104463,0,,26 -05...2021
139,5500044982,1DZ104463,384,,07.09.2021
140,5500044982,1DZ104463,384,,15.10.2021
141,5500044982,1DZ104463,384,,01.11.2021
142,5500044982,1DZ104463,768,,12 2021
143,5500044982,1DZ104463,384,,01.2022
144,5500044982,1DZ104463,768,,02.2022
145,5500044982,1DZ104463,384,,03.2022
146,5500044982,1DZ104463,768,,04.2022
147,5500044982,1DZ104463,384,,05.2022
