,order_number,reference,quantity,ship_out_date,arrival_date
0,WCI124221,R308404,414,,21.06.2021
1,WCI124221,R308404,414,,12.07.2021
2,WCI124221,R308404,0,,30.08.2021
3,WCI124221,R308404,414,,06.09.2021
4,WCI124221,R308404,414,,01.11.2021
5,WCI124221,R308404,414,,13.12.2021
6,WCI124221,R308404,0,,17.01.2022
7,WCI124221,R308404,414,,24.01.2022
8,WCI124221,R308404,0,,28.02.2022
9,WCI124221,R308404,414,,07.03.2022
10,WCI124221,R308404,414,,04.04.2022
11,WCI124221,R308404,414,,16.05.2022
12,WCI124221,R308404,0,,30.05.2022
13,WCI124221,R308404,414,,21.06.2021
14,WCI124221,R308404,414,,12.07.2021
15,WCI124221,R308404,0,,23.08.2021
16,WCI124221,R308404,414,,30.08.2021
17,WCI124221,R308404,414,,01.11.2021
18,WCI124221,R308404,0,,08.11.2021
19,WCI124221,R308404,414,,13.12.2021
20,WCI124221,R308404,414,,17.01.2022
21,WCI124221,R308404,0,,24.01.2022
22,WCI124221,R308404,414,,07.03.2022
23,WCI124221,R308404,414,,11.04.2022
24,WCI124221,R308404,0,,18.04.2022
25,WCI124221,R308404,414,,21.06.2021
26,WCI124221,R308404,414,,12.07.2021
27,WCI124221,R308404,414,,30.08.2021
28,WCI124221,R308404,414,,01.11.2021
29,WCI124221,R308404,414,,13.12.2021
30,WCI124221,R308404,414,,17.01.2022
31,WCI124221,R308404,414,,28.02.2022
32,WCI124221,R308404,414,,04.04.2022
33,WCI124221,R308404,414,,30.05.2022
34,WCI124221,R308404,414,,01.11.2021
35,WCI124221,R308404,414,,22.11.2021
36,WCI124221,R308404,414,,03.01.2022
37,WCI124221,R308404,414,,07.02.2022
38,WCI124221,R308404,414,,14.03.2022
39,WCI124221,R308404,414,,11.04.2022
40,WCI124221,R308404,414,,16.05.2022
41,WCI124221,R308404,0,,23.05.2022
42,WCI124221,R308404,414,,20.06.2022
43,WCI124221,R308404,414,,01.08.2022
44,WCI124221,R308404,0,,08.08.2022
45,WCI124221,R308404,414,,21.06.2021
46,WCI124221,R308404,414,,12.07.2021
47,WCI124221,R308404,414,,30.08.2021
48,WCI124221,R308404,414,,01.11.2021
49,WCI124221,R308404,414,,13.12.2021
50,WCI124221,R308404,414,,17.01.2022
51,WCI124221,R308404,414,,28.02.2022
52,WCI124221,R308404,0,,07.03.2022
53,WCI124221,R308404,414,,04.04.2022
54,WCI124221,R308404,0,,11.04.2022
55,WCI124221,R308404,414,,21.06.2021
56,WCI124221,R308404,414,,05.07.2021
57,WCI124221,R308404,0,,12.07.2021
58,WCI124221,R308404,414,,16.08.2021
59,WCI124221,R308404,0,,23.08.2021
60,WCI124221,R308404,414,,01.11.2021
61,WCI124221,R308404,414,,13.12.2021
62,WCI124221,R308404,0,,17.01.2022
63,WCI124221,R308404,414,,24.01.2022
64,WCI124221,R308404,414,,07.03.2022
65,WCI124221,R308404,0,,18.04.2022
66,WCI124221,R308404,414,,25.04.2022
67,WCI124221,R308404,414,,01.11.2021
68,WCI124221,R308404,0,,15.11.2021
69,WCI124221,R308404,414,,22.11.2021
70,WCI124221,R308404,0,,27.12.2021
71,WCI124221,R308404,414,,03.01.2022
72,WCI124221,R308404,0,,31.01.2022
73,WCI124221,R308404,414,,07.02.2022
74,WCI124221,R308404,0,,07.03.2022
75,WCI124221,R308404,414,,14.03.2022
76,WCI124221,R308404,414,,11.04.2022
77,WCI124221,R308404,0,,16.05.2022
78,WCI124221,R308404,414,,23.05.2022
79,WCI124221,R308404,414,,20.06.2022
80,WCI124221,R308404,414,,08.08.2022
81,WCI124221,R308404,414,,21.06.2021
82,WCI124221,R308404,414,,12.07.2021
83,WCI124221,R308404,0,,23.08.2021
84,WCI124221,R308404,414,,30.08.2021
85,WCI124221,R308404,414,,01.11.2021
86,WCI124221,R308404,0,,08.11.2021
87,WCI124221,R308404,414,,13.12.2021
88,WCI124221,R308404,414,,17.01.2022
89,WCI124221,R308404,0,,24.01.2022
90,WCI124221,R308404,414,,07.03.2022
91,WCI124221,R308404,414,,11.04.2022
92,WCI124221,R308404,0,,18.04.2022
93,WCI124221,R308404,414,,21.06.2021
94,WCI124221,R308404,414,,12.07.2021
95,WCI124221,R308404,414,,23.08.2021
96,WCI124221,R308404,0,,13.09.2021
97,WCI124221,R308404,414,,01.11.2021
98,WCI124221,R308404,414,,13.12.2021
99,WCI124221,R308404,414,,17.01.2022
100,WCI124221,R308404,0,,24.01.2022
101,WCI124221,R308404,414,,07.03.2022
102,WCI124221,R308404,414,,18.04.2022
103,WCI124221,R308404,414,,03.05.2021
104,WCI124221,R308404,414,,21.06.2021
105,WCI124221,R308404,414,,12.07.2021
106,WCI124221,R308404,0,,09.08.2021
107,WCI124221,R308404,414,,13.09.2021
108,WCI124221,R308404,0,,11.10.2021
109,WCI124221,R308404,414,,01.11.2021
110,WCI124221,R308404,0,,15.11.2021
111,WCI124221,R308404,414,,13.12.2021
112,WCI124221,R308404,0,,03.01.2022
113,WCI124221,R308404,414,,24.01.2022
114,WCI124221,R308404,0,,14.02.2022
115,WCI124221,R308404,414,,07.03.2022
116,WCI124221,R308404,0,,28.03.2022
117,WCI124221,R308404,414,,18.04.2022
118,WCI124221,R308404,414,,21.06.2021
119,WCI124221,R308404,0,,05.07.2021
120,WCI124221,R308404,414,,12.07.2021
121,WCI124221,R308404,0,,16.08.2021
122,WCI124221,R308404,414,,23.08.2021
123,WCI124221,R308404,0,,01.11.2021
124,WCI124221,R308404,414,,08.11.2021
125,WCI124221,R308404,414,,13.12.2021
126,WCI124221,R308404,414,,24.01.2022
127,WCI124221,R308404,414,,07.03.2022
128,WCI124221,R308404,414,,18.04.2022
129,WCI124221,R308404,0,,25.04.2022
130,WCI124221,R308404,414,,01.11.2021
131,WCI124221,R308404,414,,15.11.2021
132,WCI124221,R308404,0,,20.12.2021
133,WCI124221,R308404,0,,10.01.2022
134,WCI124221,R308404,414,,17.01.2022
135,WCI124221,R308404,0,,07.02.2022
136,WCI124221,R308404,414,,21.02.2022
